t,ke,pe,ke_err,pe_err
106,6.35597795e-05,-3.21998876e-06,7.43864459e-06,4.10658943e-06
107,6.35596879e-05,-3.21998642e-06,8.88112035e-06,4.83150147e-06
108,6.35595857e-05,-3.21998382e-06,1.04883503e-05,5.63879301e-06
109,6.35594735e-05,-3.21998097e-06,1.22540600e-05,6.52532670e-06
110,6.35593516e-05,-3.21997787e-06,1.41713409e-05,7.48764814e-06
111,6.35592206e-05,-3.21997454e-06,1.62326773e-05,8.52199947e-06
112,6.35590809e-05,-3.21997099e-06,1.84299767e-05,9.62433420e-06
113,6.35589332e-05,-3.21996724e-06,2.07546009e-05,1.07903332e-05
114,6.35587779e-05,-3.21996329e-06,2.31974009e-05,1.20154217e-05
115,6.35586157e-05,-3.21995917e-06,2.57487524e-05,1.32947876e-05
116,6.35584473e-05,-3.21995489e-06,2.83985943e-05,1.46234001e-05
117,6.35582733e-05,-3.21995047e-06,3.11364682e-05,1.59960298e-05
118,6.35580944e-05,-3.21994593e-06,3.39515599e-05,1.74072695e-05
119,6.35579112e-05,-3.21994128e-06,3.68327420e-05,1.88515554e-05
120,6.35577246e-05,-3.21993654e-06,3.97686181e-05,2.03231890e-05
121,6.35575353e-05,-3.21993173e-06,4.27475678e-05,2.18163600e-05
122,6.35573440e-05,-3.21992687e-06,4.57577925e-05,2.33251689e-05
123,6.35571514e-05,-3.21992198e-06,4.87873623e-05,2.48436506e-05
124,6.35569584e-05,-3.21991708e-06,5.18242633e-05,2.63657980e-05
125,6.35567657e-05,-3.21991219e-06,5.48564447e-05,2.78855855e-05
126,6.35565740e-05,-3.21990732e-06,5.78718672e-05,2.93969932e-05
127,6.35563842e-05,-3.21990250e-06,6.08585498e-05,3.08940306e-05
128,6.35561969e-05,-3.21989775e-06,6.38046181e-05,3.23707602e-05
129,6.35560130e-05,-3.21989308e-06,6.66983507e-05,3.38213211e-05
130,6.35558331e-05,-3.21988851e-06,6.95282259e-05,3.52399524e-05
131,6.35556580e-05,-3.21988406e-06,7.22829674e-05,3.66210157e-05
132,6.35554884e-05,-3.21987975e-06,7.49515890e-05,3.79590177e-05
133,6.35553249e-05,-3.21987560e-06,7.75234378e-05,3.92486320e-05
134,6.35551683e-05,-3.21987162e-06,7.99882369e-05,4.04847198e-05
135,6.35550190e-05,-3.21986783e-06,8.23361260e-05,4.16623509e-05
136,6.35548778e-05,-3.21986424e-06,8.45577004e-05,4.27768227e-05
137,6.35547452e-05,-3.21986087e-06,8.66440486e-05,4.38236795e-05
138,6.35546217e-05,-3.21985773e-06,8.85867874e-05,4.47987295e-05
139,6.35545079e-05,-3.21985483e-06,9.03780955e-05,4.56980619e-05
140,6.35544041e-05,-3.21985219e-06,9.20107446e-05,4.65180625e-05
141,6.35543108e-05,-3.21984982e-06,9.34781279e-05,4.72554278e-05
142,6.35542285e-05,-3.21984772e-06,9.47742868e-05,4.79071783e-05
143,6.35541573e-05,-3.21984590e-06,9.58939344e-05,4.84706707e-05
144,6.35540976e-05,-3.21984438e-06,9.68324769e-05,4.89436079e-05
145,6.35540498e-05,-3.21984316e-06,9.75860318e-05,4.93240486e-05
146,6.35540138e-05,-3.21984223e-06,9.81514438e-05,4.96104150e-05
147,6.35539900e-05,-3.21984162e-06,9.85262972e-05,4.98014995e-05
148,6.35539784e-05,-3.21984131e-06,9.87089262e-05,4.98964689e-05
149,6.35539790e-05,-3.21984132e-06,9.86984212e-05,4.98948686e-05
150,6.35539920e-05,-3.21984163e-06,9.84946335e-05,4.97966240e-05
151,6.35540172e-05,-3.21984226e-06,9.80981755e-05,4.96020416e-05
152,6.35540546e-05,-3.21984320e-06,9.75104190e-05,4.93118071e-05
153,6.35541039e-05,-3.21984444e-06,9.67334902e-05,4.89269838e-05
154,6.35541652e-05,-3.21984597e-06,9.57702615e-05,4.84490078e-05
155,6.35542380e-05,-3.21984781e-06,9.46243406e-05,4.78796831e-05
156,6.35543222e-05,-3.21984993e-06,9.33000566e-05,4.72211743e-05
157,6.35544174e-05,-3.21985233e-06,9.18024434e-05,4.64759984e-05
158,6.35545232e-05,-3.21985500e-06,9.01372202e-05,4.56470150e-05
159,6.35546393e-05,-3.21985793e-06,8.83107690e-05,4.47374154e-05
160,6.35547652e-05,-3.21986110e-06,8.63301105e-05,4.37507099e-05
161,6.35549004e-05,-3.21986452e-06,8.42028759e-05,4.26907143e-05
162,6.35550444e-05,-3.21986815e-06,8.19372779e-05,4.15615350e-05
163,6.35551966e-05,-3.21987200e-06,7.95420784e-05,4.03675530e-05
164,6.35553565e-05,-3.21987603e-06,7.70265543e-05,3.91134071e-05
165,6.35555234e-05,-3.21988025e-06,7.44004612e-05,3.78039751e-05
166,6.35556967e-05,-3.21988463e-06,7.16739956e-05,3.64443555e-05
167,6.35558757e-05,-3.21988915e-06,6.88577547e-05,3.50398469e-05
168,6.35560597e-05,-3.21989380e-06,6.59626952e-05,3.35959279e-05
169,6.35562480e-05,-3.21989856e-06,6.30000902e-05,3.21182352e-05
170,6.35564399e-05,-3.21990341e-06,5.99814854e-05,3.06125419e-05
171,6.35566346e-05,-3.21990833e-06,5.69186538e-05,2.90847345e-05
172,6.35568313e-05,-3.21991330e-06,5.38235493e-05,2.75407903e-05
173,6.35570293e-05,-3.21991830e-06,5.07082605e-05,2.59867537e-05
174,6.35572278e-05,-3.21992332e-06,4.75849627e-05,2.44287125e-05
175,6.35574261e-05,-3.21992833e-06,4.44658708e-05,2.28727743e-05
176,6.35576233e-05,-3.21993331e-06,4.13631909e-05,2.13250425e-05
177,6.35578187e-05,-3.21993825e-06,3.82890731e-05,1.97915921e-05
178,6.35580115e-05,-3.21994312e-06,3.52555632e-05,1.82784463e-05
179,6.35582010e-05,-3.21994791e-06,3.22745563e-05,1.67915528e-05
180,6.35583864e-05,-3.21995260e-06,2.93577495e-05,1.53367603e-05
181,6.35585669e-05,-3.21995716e-06,2.65165966e-05,1.39197959e-05
